threadNum,time,width
12,92,128
12,68,128
12,67,128
12,65,128
12,71,128
12,72,128
12,66,128
12,70,128
12,65,128
12,66,128
12,212,256
12,216,256
12,212,256
12,207,256
12,207,256
12,208,256
12,208,256
12,203,256
12,205,256
12,209,256
12,457,384
12,460,384
12,484,384
12,474,384
12,531,384
12,579,384
12,574,384
12,565,384
12,569,384
12,578,384
12,1014,512
12,1001,512
12,1002,512
12,1012,512
12,998,512
12,996,512
12,992,512
12,990,512
12,991,512
12,990,512
12,1526,640
12,1514,640
12,1530,640
12,1542,640
12,1521,640
12,1521,640
12,1550,640
12,1514,640
12,1514,640
12,1511,640
12,2222,768
12,2208,768
12,2207,768
12,2207,768
12,2208,768
12,2210,768
12,2220,768
12,2226,768
12,2215,768
12,2225,768
12,3001,896
12,2997,896
12,3002,896
12,2995,896
12,2981,896
12,2979,896
12,2987,896
12,2989,896
12,2997,896
12,2989,896
12,3938,1024
12,3876,1024
12,3903,1024
12,3858,1024
12,3863,1024
12,3877,1024
12,3866,1024
12,3865,1024
12,3877,1024
12,3850,1024
12,5007,1152
12,4996,1152
12,4982,1152
12,4968,1152
12,5000,1152
12,4965,1152
12,4964,1152
12,4972,1152
12,4987,1152
12,4996,1152
